LOCALITY,LATITUDE,LONGITUDE,DISTRICT,ST_NM,COMMON.NAME,historical.status,season
Kumbharwada Wetlands,21.7623018,72.2070338,Bhavnagar,GUJARAT,Lesser Flamingo,N,Passage/Summer
Kumbharwada Wetlands,21.7648405,72.2034788,Bhavnagar,GUJARAT,Black-tailed Godwit,Y,Winter
Kumbharwada Wetlands,21.7648405,72.2034788,Bhavnagar,GUJARAT,Greater Flamingo,N,Passage/Summer
Kumbharwada Wetlands,21.7648405,72.2034788,Bhavnagar,GUJARAT,Lesser Flamingo,N,Passage/Summer
Kumbharwada Wetlands,21.7648405,72.2034788,Bhavnagar,GUJARAT,Black-tailed Godwit,N,Passage/Summer
Kumbharwada Wetlands,21.7648405,72.2034788,Bhavnagar,GUJARAT,Black-tailed Godwit,N,Winter
Kumbharwada Wetlands,21.7695101,72.1951291,Bhavnagar,GUJARAT,Lesser Flamingo,N,Winter
Kumbharwada Wetlands,21.777036,72.2012901,Bhavnagar,GUJARAT,Greater Flamingo,N,Passage/Summer
Kumbharwada Wetlands,21.777036,72.2012901,Bhavnagar,GUJARAT,Lesser Flamingo,N,Passage/Summer
Kumbharwada Wetlands,21.777036,72.2012901,Bhavnagar,GUJARAT,Black-tailed Godwit,N,Winter
Kumbharwada Wetlands,21.777036,72.2012901,Bhavnagar,GUJARAT,Lesser Flamingo,N,Winter
Kumbharwada Wetlands,21.777036,72.2012901,Bhavnagar,GUJARAT,Black-tailed Godwit,N,Passage/Summer
Kumbharwada Wetlands,21.7778171,72.1077347,Bhavnagar,GUJARAT,Lesser Flamingo,N,Passage/Summer
Kumbharwada Wetlands,21.7778171,72.1077347,Bhavnagar,GUJARAT,Lesser Flamingo,N,Winter
Kumbharwada Wetlands,21.7814656,72.090458,Bhavnagar,GUJARAT,Lesser Flamingo,N,Winter
Kumbharwada Wetlands,21.869565,72.1884367,Bhavnagar,GUJARAT,Greater Flamingo,N,Passage/Summer
Mendha Creek,21.8767419,69.4061708,Porbandar,GUJARAT,Black-tailed Godwit,N,Winter
Mendha Creek,21.8767419,69.4061708,Porbandar,GUJARAT,Greater Flamingo,N,Winter
Mendha Creek,21.8767419,69.4061708,Porbandar,GUJARAT,Lesser Flamingo,N,Winter
Mendha Creek,21.8767419,69.4061708,Porbandar,GUJARAT,Common Pochard,N,Winter
Mendha Creek,21.8767419,69.4061708,Porbandar,GUJARAT,Black-tailed Godwit,N,Passage/Summer
Kumbharwada Wetlands,21.9246543,72.2879546,Bhavnagar,GUJARAT,Lesser Flamingo,N,Passage/Summer
Nyari-1 Dam,22.2373066,70.701313,Rajkot,GUJARAT,Black-tailed Godwit,N,Passage/Summer
